trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 1.1985}",20,0,-98.01904409978711,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
2,False,"{'a': 0.4, 'e': 1.1969999999999998}",20,11,-47.64997038337741,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.4, 'e': 1.1954999999999998}",20,0,-116.27122894576944,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.4, 'e': 1.1939999999999997}",30,0,-163.10858655408413,"{0: 13, 1: 5, 2: 9, 3: 3, 4: 0}",0
5,False,"{'a': 0.4, 'e': 1.1924999999999997}",20,0,-193.78394536005936,"{0: 9, 1: 4, 2: 2, 3: 2, 4: 3}",0
6,False,"{'a': 0.4, 'e': 1.1909999999999996}",20,0,-193.631372099143,"{0: 8, 1: 1, 2: 6, 3: 3, 4: 2}",0
7,False,"{'a': 0.4, 'e': 1.1894999999999996}",25,0,-161.2513699600844,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.4, 'e': 1.1879999999999995}",25,0,-260.75519376070076,"{0: 11, 1: 3, 2: 4, 3: 3, 4: 4}",0
9,False,"{'a': 0.4, 'e': 1.1864999999999994}",20,0,-54.98751641755019,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.4, 'e': 1.1849999999999994}",20,0,-153.1758920530237,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.4, 'e': 1.1834999999999993}",20,0,-89.22817258975596,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.4, 'e': 1.1819999999999993}",20,0,-59.29241110702453,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.4, 'e': 1.1804999999999992}",20,0,-171.42928066933928,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.4, 'e': 1.1789999999999992}",20,0,-90.68175694633177,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.4, 'e': 1.177499999999999}",30,0,-129.22612438158353,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.4, 'e': 1.175999999999999}",20,0,-161.76930614420687,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.4, 'e': 1.174499999999999}",20,0,-83.73927617242892,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.4, 'e': 1.172999999999999}",20,0,-59.547492235278334,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.4, 'e': 1.1714999999999989}",20,0,-119.67776700677989,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.4, 'e': 1.1699999999999988}",20,0,-214.63188878530212,"{0: 6, 1: 3, 2: 7, 3: 1, 4: 3}",0
21,False,"{'a': 0.4, 'e': 1.1684999999999988}",25,0,-163.4532634896294,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
22,False,"{'a': 0.4, 'e': 1.1669999999999987}",20,0,-114.33773643727636,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.4, 'e': 1.1654999999999986}",20,15,1.2839084461435721,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.4, 'e': 1.1639999999999986}",25,0,-183.54294111249007,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
25,False,"{'a': 0.4, 'e': 1.1624999999999985}",25,0,-160.59002196605485,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
26,False,"{'a': 0.4, 'e': 1.1609999999999985}",30,0,-212.87165198004965,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
27,False,"{'a': 0.4, 'e': 1.1594999999999984}",20,0,-124.69034939225276,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
28,False,"{'a': 0.4, 'e': 1.1579999999999984}",30,0,-120.08057454146955,"{0: 14, 1: 8, 2: 7, 3: 1, 4: 0}",0
29,False,"{'a': 0.4, 'e': 1.1564999999999983}",35,0,-169.0610483232139,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
30,False,"{'a': 0.4, 'e': 1.1549999999999983}",20,0,-69.64748415943794,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
31,False,"{'a': 0.4, 'e': 1.1534999999999982}",20,8,-131.10408160072728,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 3}",1
32,False,"{'a': 0.4, 'e': 1.1519999999999981}",20,12,-11.543846166430587,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.4, 'e': 1.150499999999998}",30,0,-164.61471161683272,"{0: 11, 1: 10, 2: 7, 3: 1, 4: 1}",0
34,False,"{'a': 0.4, 'e': 1.148999999999998}",25,0,-264.2933719086425,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 6}",0
35,False,"{'a': 0.4, 'e': 1.147499999999998}",25,0,-152.8646757883744,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
36,False,"{'a': 0.4, 'e': 1.145999999999998}",20,0,-107.65190649227551,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
37,False,"{'a': 0.4, 'e': 1.1444999999999979}",25,0,-193.6783194730947,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
38,False,"{'a': 0.4, 'e': 1.1429999999999978}",25,0,-239.93904888267826,"{0: 10, 1: 5, 2: 6, 3: 0, 4: 4}",0
39,False,"{'a': 0.4, 'e': 1.1414999999999977}",20,0,-123.09704080745537,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
40,False,"{'a': 0.4, 'e': 1.1399999999999977}",25,0,-129.5924821816208,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
41,False,"{'a': 0.4, 'e': 1.1384999999999976}",20,0,-42.52395205756968,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
42,False,"{'a': 0.4, 'e': 1.1369999999999976}",20,0,-152.32933425471987,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 2}",0
43,False,"{'a': 0.4, 'e': 1.1354999999999975}",30,0,-111.9716002514134,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
44,False,"{'a': 0.4, 'e': 1.1339999999999975}",20,0,-50.674745713546685,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.4, 'e': 1.1324999999999974}",20,0,-155.39287226626402,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
