trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.45, 'e': 2.0}",25,0,-51.37727053091389,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.45, 'e': 1.9860488858664702}",25,0,-191.53455431925227,"{0: 10, 1: 6, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.45, 'e': 1.9721950885257238}",20,0,-81.84873512065583,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.45, 'e': 1.9584379291389191}",20,0,-138.45406031458134,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.45, 'e': 1.9447767336024937}",20,0,-129.93063558317033,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.45, 'e': 1.931210832515133}",20,0,-39.48741840252336,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.45, 'e': 1.917739561144969}",20,0,-131.13899700318407,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
8,False,"{'a': 0.45, 'e': 1.9043622593970098}",20,0,-69.93645892658502,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.45, 'e': 1.8910782717807926}",25,0,-128.8324388928177,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.45, 'e': 1.8778869473782664}",25,0,-112.70459918059126,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.45, 'e': 1.8647876398118965}",20,0,-78.0661484874612,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.45, 'e': 1.8517797072129907}",20,0,-61.82994732615953,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.45, 'e': 1.8388625121902493}",30,0,-177.63565946051898,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
