trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.7150871150615,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.75459473473756,"{0: 12, 1: 5, 2: 1, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.84241351572777,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.1682340165575,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.49379708101006,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-248.8162767980646,"{0: 9, 1: 6, 2: 5, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.93907451874476,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-198.85490554455635,"{0: 14, 1: 5, 2: 7, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-222.98164396020474,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-191.37786714986524,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.0113092908195,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.28799085623471,"{0: 12, 1: 0, 2: 13, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.22801872892447,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.91053104189517,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.92776232687633,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-212.02054631245406,"{0: 10, 1: 5, 2: 6, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.48659615908626,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.94704184651373,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.87991944148199,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.10665105917846,"{0: 17, 1: 7, 2: 2, 3: 3, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-105.30512664767605,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-139.80963806268824,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-111.70647432830467,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-74.7725863164446,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.88471652173378,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-128.73488164467625,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.3561351528734,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-143.58186710202529,"{0: 23, 1: 1, 2: 8, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-267.3291098047221,"{0: 18, 1: 4, 2: 5, 3: 5, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.0083180130997,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
